tweet_text,cyberbullying_type,toxicity,is_cyberbullying,predicted
RT @goodfoodAU: A restaurant AND a cookbook for #mykitchenrules twins Helena and Vikki. #mkr http://t.co/jopkwkiYqH,not_cyberbullying,0.01017851,0,0
@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime I don't care about an idiot with an absurd opinion.,not_cyberbullying,0.76197964,0,0
@YouSoFancy oh MAN!! Not sure it gets better than Timbaland.,not_cyberbullying,0.04735767,0,0
The Bully at Work: What You Can Do to Stop the Hurt and Reclaim Your Dignity on the Job http://dlvr.it/bn8wZ,not_cyberbullying,0.1460314,0,0
@harmlesstree2 Here 11 https://t.co/xWJzpSodGj,not_cyberbullying,0.009738698,0,0
"RT @BastardKeith: Over $100,000 has been raised for Darren Wilson. But man, why must liberals bring RACE into this?! It's about...oh. http:…",not_cyberbullying,0.3302291,0,0
Some people need to get off the computer and get a life and stop bullying people!!!,not_cyberbullying,0.36095104,0,0
@Palestine_UN @isra_jourisra They were connected to the Muslim Brotherhood.,not_cyberbullying,0.041915078,0,0
"@miltonn eu uso a minha beeem assim, e ainda tem gente que me chama de Restart, Bullying.",not_cyberbullying,0.20335422,0,0
@JoRitson Do humanity a favor and jump in a hole and pull the dirt in over you.,not_cyberbullying,0.63782936,0,0
RT @curdistani: Kurdish forcec #YPG and allies cleansed Qaraqawzaq bridge area from ISIS terrorists #TwitterKurds #Kobane,not_cyberbullying,0.13041082,0,0
@sheeeneee That's goooood! Call me tmr baby. I'm not going school so wake me up before you leave okay.,not_cyberbullying,0.19124292,0,0
Thanks today! Successful nge-Bully-nya haha @sarahmuharani @andienpp @ViviOlvita jg @sheryol,not_cyberbullying,0.08795626,0,0
"What happened to all those friends in that car with her?“@eonline: Rebecca Black Drops Out of School, Blames Bullying http://t.co/kbAWtYv”",not_cyberbullying,0.16331999,0,0
"@luan_conta bullying mesmo foi você falando que parecia que a menina tava num ensaio, nao cantando pro show o:",not_cyberbullying,0.28312725,0,0
Portland IKEA: now with birds!,not_cyberbullying,0.020842785,0,0
@jaymgates on behalf of engineers I'm offend- okay no I'm not.,not_cyberbullying,0.06579731,0,0
@MelBiebs69 @haroonstyles @halalflaws @greenlinerzjm @biebervalue Come on. Let's do it one verse at a time. Everybody verify what it says.,not_cyberbullying,0.04686289,0,0
So apparently the saloon bar in msp decided to steal my jacket because I'm dating @DuncanBlackXXX .. Real,not_cyberbullying,0.25462922,0,0
Being a feminist can be so incredibly fucking lonely offline.,not_cyberbullying,0.71760553,0,0
RT @ohmyloz: De-constructed is code word for 'fell on the floor' right? #MKR,not_cyberbullying,0.04240986,0,0
